"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_CUCC.POGDP.A","OBS_VALUE","Rwanda","Outstanding loans, Credit unions and credit cooperatives","Percent of GDP","Annual","Units","1.232575334258253","1.361344890974696","1.301819315467985","1.397077957790039","1.422370465137531","1.598892108386735","1.775953326115722","1.859880545530039"
"IMF.STA:FAS(4.0.0)","RWA.ODT.NUM.A","OBS_VALUE","Rwanda","Other deposit takers","Number","Annual","Units","4","3","3","3","4","4","4","4"
"IMF.STA:FAS(4.0.0)","RWA.OUTD_COMBANK.POGDP.A","OBS_VALUE","Rwanda","Outstanding deposits, Commercial banks","Percent of GDP","Annual","Units","18.57922465009085","19.76675997123292","19.65541042622379","23.28267488704918","23.79376770538244","23.93715743440233","22.77322266329845","29.1447240942434"
"IMF.STA:FAS(4.0.0)","RWA.LOANACC_COMBANK.NUM.A","OBS_VALUE","Rwanda","Loan accounts, Commercial banks","Number","Annual","Units","142879","203278","298014","391582","379632","386310","747848","1273672"
"IMF.STA:FAS(4.0.0)","RWA.FA21_DTMFI.NUM.A","OBS_VALUE","Rwanda","Borrowers, Deposit taking microfinance institutions","Number","Annual","Units","36666","46239","81655","138089","77344","87523","100152","182736"
"IMF.STA:FAS(4.0.0)","RWA.FA2_S128.NUM.A","OBS_VALUE","Rwanda","Policies, Insurance corporations","Number","Annual","Units","855177","587673","450387","584157","897315","849810","1072985","1126549"
"IMF.STA:FAS(4.0.0)","RWA.FA65.POGDP.A","OBS_VALUE","Rwanda","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","17.99695261751417","21.79712419771382","25.24482165878814","74.77982262023549","95.39549469577812","106.435138483965","124.9659449055696","160.3780993393742"
"IMF.STA:FAS(4.0.0)","RWA.FA18N.PTKM2_NUM.A","OBS_VALUE","Rwanda","Number of automated teller machines (ATMs)","Per 1,000 square km","Annual","Units","16.45723550871504","15.52492906364005","15.52492906364005","13.53871098500203","13.66031617349007","14.06566680178354","13.98459667612485","12.80907985407377"
"IMF.STA:FAS(4.0.0)","RWA.FA74_S128.NUM.A","OBS_VALUE","Rwanda","Life insurance policy holders, Insurance corporations","Number","Annual","Units","198201","213099","398434","409709","512442","600583","701092","1330790"
"IMF.STA:FAS(4.0.0)","RWA.LOANACC_CUCC.NUM.A","OBS_VALUE","Rwanda","Loan accounts, Credit unions and credit cooperatives","Number","Annual","Units","205061","234726","428069","525622","322248","286236","419713","592452"
"IMF.STA:FAS(4.0.0)","RWA.OUTD_CUCC_L.XDC.A","OBS_VALUE","Rwanda","Outstanding deposits, Credit unions and credit cooperatives, Liabilities","Domestic currency","Annual","Millions","86090.45605541","96389.38661796","113494.66573988","128584.541090066","147204","182509.145012199","210381","264713"
"IMF.STA:FAS(4.0.0)","RWA.FA63.NUM.A","OBS_VALUE","Rwanda","Active mobile money accounts","Number","Annual","Units","3774438","4662206","4700987","4688124","5125090","6036044","6890768","7169324"
